-- Testing: 210 tests, 12 workers --
FAIL: LLVM :: tools/llvm-objcopy/ELF/only-section-strip-undefined.test (125 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/program-headers.test (126 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/pt-phdr.test (127 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/prefix-symbols.test (128 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/regex.test (129 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/preserve-segment-contents.test (130 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/relocatable-phdr.test (131 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/redefine-symbol.test (132 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/preserve-segment-contents-ehdr-phdrs.test (133 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-multiple-sections.test (134 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/relocations-no-symtab.test (135 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-section-in-group.test (136 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-section-group.test (137 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/reloc-no-symtab.test (138 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/reloc-error-remove-symtab.test (139 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-linked-section.test (140 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-section-in-segment.test (141 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-symtab.test (142 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/rename-section-and-prefix-alloc-sections.test (143 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/rename-section-duplicate-names.test (144 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/rename-section-empty-string.test (145 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-section-with-symbol.test (146 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/rename-section-flag-osproc-mask.test (147 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-shstrtab-error.test (148 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-section.test (149 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/rename-section-multiple.test (150 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/rename-section.test (151 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/response-file.test (152 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/sectionless-segment.test (153 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/rename-section-flag.test (154 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/section-index-unsupported.test (155 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/segment-shift.test (156 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/rename-section-flag-preserved.test (157 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/same-file-strip.test (158 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/set-section-alignment.test (159 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/segment-shift-section-remove.test (160 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/set-section-flags-multiple.test (161 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/set-section-flags-and-rename.test (162 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/shstrtab-optimize.test (163 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/segment-test-remove-section.test (164 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/set-section-flags.test (165 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/standard-streams.test (166 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/respect-umask.test (167 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-all-gnu.test (168 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/shared-strtab-shstrtab.s (169 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-all.test (170 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/strip-all-and-remove.test (171 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-all-and-keep-symbol.test (172 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-group-symbol.test (173 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-dwo-groups.test (174 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-non-alloc.test (175 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-dwo-inplace.test (176 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-debug-and-remove.test (177 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-debug.test (178 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-multiple-files.test (179 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-preserve-arm-attributes.test (180 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-sections-only-section.test (181 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-sections-keep.test (182 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-reloc-symbol.test (183 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-section-err.test (184 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-sections.test (185 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-preserve-atime.test (186 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-symbol-and-relocation.test (187 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-symbol.test (188 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/strip-unneeded-all-symbols.test (189 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-unneeded-remove-debug-keep-link.test (190 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-preserve-mtime.test (191 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strtab-optimize.test (192 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/triple-overlap.test (193 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/symbol-empty-name.test (194 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strip-unneeded.test (195 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/symtab-link.test (196 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/symtab-error-on-remove-strtab.test (197 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/symbol-copy.test (198 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/two-seg-remove-end.test (199 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/two-seg-remove-first.test (200 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/two-seg-remove-third-sec.test (201 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/weaken-all.test (202 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/weaken.test (203 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/wildcard-syntax.test (204 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/tail-merged-string-tables.test (205 of 210)
